n_samples,d,vine_family,correlation_type,rho,corr_max_error,corr_mean_error,corr_rmse,corr_of_corrs,marginals_similar,mean_ks_stat,mean_kendall_diff,mean_spearman_diff,entropy_true,entropy_error
1000,10,c-vine,equicorrelation,0.3,0.3532468433261354,0.12118325342296166,0.15538663170534533,-0.0667444862272956,True,0.027500000000000004,0.08305422585230286,0.11446799173915513,13.23851449414752,1.1010624297868823
1000,10,c-vine,equicorrelation,0.9,0.2857502480882437,0.08010587673146505,0.12712991136809812,-0.06236877677029948,True,0.020699999999999996,0.091929351573796,0.08549069882403217,4.931889620334921,1.891716587398629
1000,10,c-vine,block,0.3,0.553400050757698,0.31828397847016704,0.3548527385181726,0.344189651078249,True,0.0241,0.2169184511836437,0.31007889775717784,13.551142916656067,1.4673211246065936
1000,10,c-vine,block,0.6,0.5722616223347994,0.28007350528742336,0.34246743268068963,0.7365003209920437,True,0.0264,0.1941014231253731,0.27096640401507527,11.747997836172221,0.5984485408832807
1000,10,c-vine,block,0.9,0.5784114430736959,0.2906350397153442,0.350671336614567,0.8515615221285703,True,0.0361,0.21533150928706482,0.28362313722313726,6.505101263565591,2.2987881826019008
1000,10,d-vine,toeplitz,0.6,0.6949817336688455,0.35729246715971374,0.4227931112218313,-0.7680673156091629,True,0.0279,0.25011135580024474,0.3477650157650158,12.18109337021884,1.3082153246825463
1000,10,d-vine,toeplitz,0.9,0.3923358726425819,0.15363832749206047,0.18810851561549083,-0.7237118786902342,True,0.022200000000000004,0.14400230977405507,0.15918158681103048,6.716094901349296,2.2119480746578066
1000,10,d-vine,equicorrelation,0.3,0.20649603035337505,0.09292901670050338,0.11159112207769607,0.021342926980464385,True,0.024399999999999998,0.06236182849516185,0.08893866200532867,13.23851449414752,0.7363929003605367
1000,10,d-vine,equicorrelation,0.6,0.10020364533328319,0.038363635809794405,0.04714615459184769,0.005933591045817658,True,0.0327,0.033362240183554964,0.04140432674357355,10.99422603379584,0.02489620246301172
1000,10,d-vine,block,0.3,0.5581823810965083,0.27611001650036376,0.344104269381197,-0.6382047862617708,True,0.0264,0.18323025247469696,0.26744000424000425,13.551142916656067,1.1671128656586358
1000,10,d-vine,block,0.6,0.7718574432600125,0.3939275150928409,0.4903323035281386,-0.4336046994488307,True,0.023899999999999998,0.2718992061988409,0.3834269034277746,11.747997836172221,0.5890623299854507
1000,10,d-vine,block,0.9,0.8196918636405336,0.5062751016318732,0.5570954006896842,-0.22113292302229887,True,0.023899999999999998,0.3899143588032477,0.49781388261388265,6.505101263565591,2.6558467082244137
2000,3,c-vine,toeplitz,0.3,0.1961581188073126,0.08627102822902716,0.11732143221614061,0.08599586160180683,True,0.018166666666666668,0.0633910288477572,0.09315923628980906,4.162504920142777,0.2548153543105611
2000,3,c-vine,toeplitz,0.6,0.04173860517126732,0.03303446536234652,0.03362608609509681,0.9748481048931927,True,0.0175,0.02590130785402663,0.03419610533102263,3.810528496985599,0.17050481446705046
2000,3,c-vine,toeplitz,0.9,0.2426530964053869,0.18715066696768864,0.1916699289241136,0.6257536405855785,True,0.017666666666666667,0.19780715430348392,0.1991203856091208,2.5960843927923674,0.7740284087976197
2000,3,c-vine,equicorrelation,0.3,0.11094879697347237,0.05140092737565238,0.0672346291580414,0.9999001368088306,True,0.020833333333333332,0.03681173920293484,0.052127807031951745,4.135142470298154,0.21643040329464558
2000,3,c-vine,equicorrelation,0.6,0.04935807606122278,0.03447600607868236,0.03604658342074186,0.7711517595054235,True,0.02266666666666667,0.026545272636318135,0.03613326953331734,3.7347535479219984,0.13907776651244186
2000,3,c-vine,equicorrelation,0.9,0.2386282612151449,0.2040837516741185,0.2091875275468066,0.21273633083114757,True,0.013666666666666666,0.21318992829748204,0.20471089767772435,2.4690402152105517,0.8246795123799049
2000,3,d-vine,toeplitz,0.3,0.37738471728952294,0.14621456791508414,0.21932138943474633,-0.9578326915024971,True,0.0305,0.09592771846499148,0.14006010945860073,4.162504920142777,0.23498775158745477
2000,3,d-vine,toeplitz,0.6,0.22894319565112686,0.10570616605266558,0.1370023453992737,-0.8696066743013982,True,0.022333333333333334,0.07787654028279012,0.10308213488209832,3.810528496985599,0.13129815474267303
2000,3,d-vine,equicorrelation,0.3,0.07946113843642488,0.041744576489089504,0.04975950895908534,0.9824890007257769,True,0.026333333333333334,0.022210805040685132,0.031582773218741,4.135142470298154,0.1468063671769304
